# REBOUND parity — Figure-8 choreography — REBOUND IAS15 side
# protocol: paper/notebooks/2026-04-26-rebound-parity-figure8.md
# integrator: IAS15 (REBOUND)
# rebound_version: 4.6.0
# units: canonical (G = 1)
# mass=1.0, period=6.325913986999999850e+00
# n_periods=10, samples_per_period=200, dt0=6.424945463533106478e-04
sample,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,e_total
1576,4.985026356530006808e+01,-1.061769364203118071e+00,-1.074062434239303615e-01,-1.712939512280828580e-01,4.667235403176356878e-01,2.897779485650423537e-01,-2.380754608022670749e-01,1.047720532971687213e+00,-6.678193109605560229e-01,7.719914156380692782e-01,3.454817042261925653e-01,-8.764265817436046602e-01,2.010957706429200853e-01,-1.287141991766325599e+00
1577,4.989303699611998155e+01,-1.068364268399976780e+00,-8.743217681356005300e-02,-1.373118235961532652e-01,4.671610166937619768e-01,3.350997603505487810e-01,-2.652939668297683573e-01,1.070971212526611094e+00,-6.032877769135481794e-01,7.332645080494215595e-01,3.527261436433235531e-01,-9.336593889304580784e-01,1.361267602197859805e-01,-1.287141991766325599e+00
1578,4.991404762638826043e+01,-1.071078593589885664e+00,-7.761569204138564493e-02,-1.211138730343736813e-01,4.672592660907307627e-01,3.577096967989002452e-01,-2.776046015714437876e-01,1.081083108776851764e+00,-5.682005761452194603e-01,7.133688967909789236e-01,3.552202936128245336e-01,-9.599692357424782774e-01,1.009413100544885172e-01,-1.287141991766325599e+00
1579,4.995538707858444383e+01,-1.075439485864368105e+00,-5.829777727983551788e-02,-9.002303283364701536e-02,4.673168114247409632e-01,4.027521509731916138e-01,-2.995691074441533264e-01,1.097089559540886050e+00,-4.931824442704205169e-01,6.726873348911700523e-01,3.578668847239839246e-01,-1.007066526707239396e+00,2.586563284567931775e-02,-1.287141991766325599e+00
1580,4.997574722672361247e+01,-1.077119376219174418e+00,-4.878322097446118055e-02,-7.502450083688305682e-02,4.673059029381003704e-01,4.251478600378684192e-01,-3.092104114053119690e-01,1.102568030065375959e+00,-4.536332966845151304e-01,6.519715161812995596e-01,3.579936323797682229e-01,-1.027543529228493124e+00,-1.367260625358549669e-02,-1.287141991766325821e+00
1581,5.001601419347304756e+01,-1.079550538583724517e+00,-2.996715550024484781e-02,-4.581406126521607447e-02,4.672574577099068427e-01,4.696743022095579700e-01,-3.258365153558884786e-01,1.107629174453191201e+00,-3.713674259131721778e-01,6.098762363741601078e-01,3.558036708561284067e-01,-1.061815113187975168e+00,-9.589003179673490085e-02,-1.287141991766326043e+00
1582,5.005584984288813644e+01,-1.080806857277778255e+00,-1.135453951692554780e-02,-1.730536629804233992e-02,4.672172618495313290e-01,5.137549599787211152e-01,-3.389448867898077200e-01,1.103971691255770660e+00,-2.863278891722920716e-01,5.670518972990505890e-01,3.502994263067283343e-01,-1.086666324957728635e+00,-1.808893726772394794e-01,-1.287141991766325599e+00
1583,5.007568360906106619e+01,-1.081009979123784381e+00,-2.087952297820346199e-03,-3.180636392418581711e-03,4.672097916845364129e-01,5.356020591098361594e-01,-3.441976386619060024e-01,1.098651595028607098e+00,-2.433152863381194964e-01,5.454079200139416717e-01,3.462855909597213899e-01,-1.095470958636188819e+00,-2.238945053464171386e-01,-1.287141991766325821e+00
1584,5.011530016147123945e+01,-1.080577244350209520e+00,1.642146743701340672e-02,2.504200314107363906e-02,4.672253806308291346e-01,5.788056398420814430e-01,-3.521342432759831387e-01,1.080838330359174204e+00,-1.575092669034504067e-01,5.017716045081215270e-01,3.357127758389648053e-01,-1.105880333500248058e+00,-3.097161137273790055e-01,-1.287141991766326043e+00
1585,5.013513316994969671e+01,-1.079939954782732192e+00,2.568814710443406354e-02,3.923474202756928320e-02,4.672461041206521504e-01,6.001220003336730224e-01,-3.548373212981527636e-01,1.068356840213408043e+00,-1.151836550781235174e-01,4.798179544490525639e-01,3.291491741937137561e-01,-1.107591582240977424e+00,-3.520624490425288688e-01,-1.287141991766325155e+00
